# InsiderScope seed list — well-known Solana memecoins with $10M+ ATH market caps.
# Copied to TOKENS_DIR (default /data/tokens) as seed.csv on the first pipeline pass
# and re-imported on every pass after that.
#
# - To exclude a token, comment its line out with # (your edits to seed.csv persist).
# - Deleting seed.csv restores this default list on the next pass.
# - Entries are best-effort curated: a wrong/renamed mint is auto-marked 'skipped'
#   by the crawler and a token whose real ATH is below $10M is ignored by scoring,
#   so bad rows cost almost nothing.
#
# mint,symbol,ath_mc_usd,name
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,FARTCOIN,2500000000,Fartcoin
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,GOAT,1300000000,Goatseus Maximus
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,PNUT,2400000000,Peanut the Squirrel
Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,CHILLGUY,640000000,Just a Chill Guy
GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,ACT,1000000000,Act I The AI Prophecy
ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,MOODENG,640000000,Moo Deng
5mbK36SZ7J19An8jFochhQS4of8g6BwUjbeCSxBSoWdp,MICHI,300000000,michi
3B5wuUrMEi5yATD7on46hKfej3pfmd7t1RKgrsN3pump,BILLY,200000000,Billy
63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,GIGA,800000000,Gigachad
5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,PONKE,700000000,Ponke
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,WIF,4900000000,dogwifhat
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,POPCAT,1900000000,Popcat
MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,MEW,900000000,cat in a dogs world
ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,BOME,1500000000,Book of Meme
7BgBvyjrZX1YKz4oh9mjb8ZScatkkwb8DzFx7LoiVkM3,SLERF,800000000,Slerf
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,AI16Z,2400000000,ai16z
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,15000000000,Official Trump
FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,MELANIA,2000000000,Melania Meme
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,PENGU,3500000000,Pudgy Penguins
